pysat base3 N=86: SAT (0.2s)
pysat base3 N=87: UNSAT (0.2s), initial core: 393 APs
minimal (irreducible) core: 245 APs
  x= 52 d= 10 terms=[52, 62, 72, 82] blocks=[3, 3, 3, 4]
  x= 19 d= 21 terms=[19, 40, 61, 82] blocks=[2, 3, 3, 4]
  x= 74 d=  3 terms=[74, 77, 80, 83] blocks=[3, 3, 3, 4]
  x= 71 d=  4 terms=[71, 75, 79, 83] blocks=[3, 3, 3, 4]
  x= 68 d=  5 terms=[68, 73, 78, 83] blocks=[3, 3, 3, 4]
  x= 53 d= 10 terms=[53, 63, 73, 83] blocks=[3, 3, 3, 4]
  x= 72 d=  4 terms=[72, 76, 80, 84] blocks=[3, 3, 3, 4]
  x= 60 d=  8 terms=[60, 68, 76, 84] blocks=[3, 3, 3, 4]
  x= 54 d= 10 terms=[54, 64, 74, 84] blocks=[3, 3, 3, 4]
  x= 21 d= 21 terms=[21, 42, 63, 84] blocks=[2, 3, 3, 4]
  x= 12 d= 24 terms=[12, 36, 60, 84] blocks=[2, 3, 3, 4]
  x= 70 d=  5 terms=[70, 75, 80, 85] blocks=[3, 3, 3, 4]
  x= 55 d= 10 terms=[55, 65, 75, 85] blocks=[3, 3, 3, 4]
  x= 52 d= 11 terms=[52, 63, 74, 85] blocks=[3, 3, 3, 4]
  x= 19 d= 22 terms=[19, 41, 63, 85] blocks=[2, 3, 3, 4]
  x= 16 d= 23 terms=[16, 39, 62, 85] blocks=[2, 3, 3, 4]
  x= 62 d=  8 terms=[62, 70, 78, 86] blocks=[3, 3, 3, 4]
  x= 59 d=  9 terms=[59, 68, 77, 86] blocks=[3, 3, 3, 4]
  x= 56 d= 10 terms=[56, 66, 76, 86] blocks=[3, 3, 3, 4]
  x= 53 d= 11 terms=[53, 64, 75, 86] blocks=[3, 3, 3, 4]
  x= 20 d= 22 terms=[20, 42, 64, 86] blocks=[2, 3, 3, 4]
  x= 60 d=  9 terms=[60, 69, 78, 87] blocks=[3, 3, 3, 4]
  x= 54 d= 11 terms=[54, 65, 76, 87] blocks=[3, 3, 3, 4]
  x= 21 d= 22 terms=[21, 43, 65, 87] blocks=[2, 3, 3, 4]
core re-verified UNSAT by CP-SAT (independent 3rd check)
